Date,Open,High,Low,Close,Adj Close,Volume
2020-11-19,35.727501,36.922501,35.490002,36.814999,36.412636,79670800
2020-11-20,36.762501,37.067501,36.029999,36.067501,35.673309,64996800
2020-11-23,36.455002,36.935001,35.189999,36.075001,35.680725,89530400
2020-11-24,36.455002,37.757500,35.767502,37.549999,37.139603,78007600
2020-11-25,37.930000,38.502499,37.612499,38.257500,37.839371,64338800
2020-11-27,39.009998,39.767502,38.882500,39.302502,38.872952,46463600
2020-11-30,39.430000,39.695000,37.645000,39.505001,39.073238,92311200
2020-12-01,40.447498,41.737499,40.025002,41.057499,40.608765,84994800
2020-12-02,40.552502,41.360001,39.794998,41.222500,40.771965,73064800
2020-12-03,41.322498,42.047501,41.087502,41.389999,40.937634,78730800
2020-12-04,41.400002,41.959999,41.127499,41.897499,41.439587,63544000
2020-12-07,41.974998,42.755001,41.900002,42.607498,42.141823,62014000
2020-12-08,42.412498,43.169998,41.652500,42.997501,42.527569,66962800
2020-12-09,42.959999,43.064999,39.654999,40.117500,39.679043,122439200
2020-12-10,39.259998,41.067501,38.814999,40.610001,40.166161,86673200
2020-12-11,39.912498,40.382500,38.974998,40.325001,39.884277,84909600
2020-12-14,40.807499,42.012501,40.792500,41.185001,40.734879,73342400
2020-12-15,42.145000,42.502499,41.230000,42.465000,42.000885,78708800
2020-12-16,42.692501,43.562500,42.244999,43.177502,42.705601,68795200
2020-12-17,43.912498,44.169998,43.397499,44.062500,43.580925,69637600
2020-12-18,44.389999,44.477501,42.632500,43.582500,43.106174,84378000
2020-12-21,42.392502,43.654999,41.169998,43.419998,42.945446,101798400
2020-12-22,43.825001,44.177502,42.544998,43.762501,43.284206,80165200
2020-12-23,43.759998,43.939999,43.044998,43.102501,42.631416,59717200
2020-12-24,43.227501,43.860001,43.180000,43.662498,43.185295,38532800
2020-12-28,44.790001,45.189999,44.007500,44.972500,44.480980,58526400
2020-12-29,45.587502,45.849998,44.702499,45.105000,44.612030,60571200
2020-12-30,45.612499,45.750000,44.817501,45.097500,44.604614,52403600
2020-12-31,45.067501,45.619999,44.582500,45.450001,44.953262,53354000
2021-01-04,46.020000,46.097500,41.707500,43.462502,42.987484,98736000
2021-01-05,43.070000,44.639999,43.070000,44.552502,44.065575,59356400
2021-01-06,42.474998,44.584999,42.055000,42.709999,42.243210,105365200
2021-01-07,43.842499,46.162498,43.837502,45.794998,45.294487,61847600
2021-01-08,46.827499,47.720001,45.849998,47.570000,47.050095,76407600
2021-01-11,46.202499,46.735001,45.202499,45.467499,44.970570,70162800
2021-01-12,45.529999,46.002499,44.099998,45.270000,44.775230,73015600
2021-01-13,45.392502,46.547501,45.125000,46.150002,45.645615,54375200
2021-01-14,46.375000,46.834999,45.240002,45.447498,44.950787,59118000
2021-01-15,45.352501,45.782501,43.770000,44.342499,43.857864,70846000
2021-01-19,45.362499,46.517502,44.900002,46.264999,45.759354,60483600
2021-01-20,47.927502,49.942501,47.764999,49.490002,48.949108,60868000
2021-01-21,50.125000,51.070000,49.500000,50.720001,50.165665,46084200
2021-01-22,50.205002,50.759998,49.939999,50.259998,49.710693,40939400
2021-01-25,51.880001,52.535000,48.400002,51.654999,51.090443,76585200
2021-01-26,51.860001,52.290001,51.090000,51.709999,51.144844,45484400
2021-01-27,50.630001,50.650002,46.500000,47.540001,47.020420,94450400
2021-01-28,47.945000,50.500000,47.674999,48.240002,47.712772,45010800
2021-01-29,47.450001,47.959999,44.375000,45.235001,44.740612,92139200
2021-02-01,46.775002,49.014999,45.869999,48.560001,48.029274,52829800
2021-02-02,49.945000,51.480000,49.880001,50.910000,50.353588,46373200
2021-02-03,51.965000,52.115002,50.325001,50.325001,49.774982,47586000
2021-02-04,51.020000,52.150002,50.375000,52.105000,51.535526,36404400
2021-02-05,52.599998,53.145000,51.785000,52.650002,52.074574,43307600
2021-02-08,53.480000,53.775002,52.674999,53.680000,53.093311,38497400
2021-02-09,53.240002,54.285000,53.240002,53.654999,53.068584,32884400
2021-02-10,54.389999,54.599998,51.730000,53.275002,52.692741,61774000
2021-02-11,54.080002,54.369999,52.980000,54.134998,53.543339,49430000
2021-02-12,53.790001,55.150002,53.220001,55.055000,54.453285,38735800
2021-02-16,55.480000,55.930000,54.040001,54.595001,53.998314,44331800
2021-02-17,53.115002,53.970001,52.005001,53.834999,53.246620,52993400
2021-02-18,52.029999,53.480000,51.139999,53.110001,52.529545,55101000
2021-02-19,53.820000,53.840000,51.930000,52.410000,51.837193,46688600
2021-02-22,50.270000,50.900002,48.250000,48.349998,47.821568,66367400
2021-02-23,45.889999,48.680000,43.209999,47.919998,47.396263,99637400
2021-02-24,46.619999,49.235001,45.450001,49.075001,48.538643,61521000
2021-02-25,47.810001,49.035000,43.224998,43.950001,43.469654,118896000
2021-02-26,45.195000,46.580002,43.125000,44.610001,44.122444,104659200
2021-03-01,46.680000,48.654999,46.095001,48.500000,47.969929,66853600
2021-03-02,48.770000,48.845001,46.049999,46.174999,45.670338,75846600
2021-03-03,45.685001,46.099998,42.125000,42.169998,41.709110,115771200
2021-03-04,41.985001,43.320000,38.439999,40.084999,39.646896,216018600
2021-03-05,41.145000,42.235001,37.514999,41.880001,41.422279,168328200
2021-03-08,41.639999,42.424999,38.134998,38.299999,37.881405,117865800
2021-03-09,41.235001,43.575001,40.965000,42.810001,42.342113,86714600
2021-03-10,44.630001,44.750000,42.154999,42.445000,41.981102,101685600
2021-03-11,44.509998,46.130001,44.070000,45.389999,44.893917,79467800
2021-03-12,43.584999,44.334999,42.535000,44.259998,43.776268,83295000
2021-03-15,44.404999,45.755001,43.689999,45.674999,45.175800,63350800
2021-03-16,46.669998,47.994999,45.799999,46.424999,45.917603,84385200
2021-03-17,45.060001,47.865002,44.305000,47.009998,46.496208,98185400
2021-03-18,44.805000,45.250000,42.474998,42.695000,42.228371,114126800
2021-03-19,42.625000,43.775002,41.700001,43.240002,42.767414,96643200
2021-03-22,44.145000,46.435001,44.145000,45.544998,45.047218,70550600
2021-03-23,46.025002,46.615002,44.584999,44.950001,44.458729,93890400
2021-03-24,45.544998,45.560001,42.625000,42.680000,42.213535,95241800
2021-03-25,41.910000,43.090000,40.825001,42.450001,41.986053,119937200
2021-03-26,42.360001,44.485001,41.764999,44.325001,43.840557,107530200
2021-03-29,44.119999,44.770000,42.860001,44.299999,43.815830,95294600
2021-03-30,43.474998,43.895000,42.480000,43.669998,43.192711,74174800
2021-03-31,44.395000,46.299999,44.255001,45.630001,45.131294,80984400
2021-04-01,47.320000,48.014999,47.209999,47.950001,47.425938,72543600
